content,hate,gender_hate
걍 이 병신나라 민도가 좆박은건데 어쩔수가 잇나 걍 망해야지,1,0
그 앰생 쓰레기 병신들은 짐승이고. 니는 짐승을 사람 취급해주냐.,1,0
제발 너그집으로 꺼져 애미뒤진새끼야,1,0
몸만지면 대주는 걸레년임,1,1
환경오염도 이쯤되면 심각하고 자식 낳아봐야 지들 애미애비(그러므로 너 나 우리)가 똥 싸지른 꼴 구경시켜주는 것밖에 더 되겠냐 재앙아 출산율 더 낮춰봐라,1,0
씨발 좆같은 새끼가 먼저 시비투로 글 싸재껴놓고 이제와서 그런 뜻 아니었다 뭔 개 좆빠는 소리를 쳐하노,1,0
말투 진짜 개좆같다 대가리 깨서 마라국물 마시고 싶네,1,0
씨발년이 애새끼 처먹이는데 마라탕을 왜 먹여 1점 주려고 별 지랄을 다하네 미친년이,1,1
저런 년들도 결혼하고 애낳고 산다는게 보지년들이 인생 허들이 낮다는 증거 아니겠노,1,1
애기한태 마라탕을 처 맥이려는 미친년이 애미실격아니냐,1,0
한남고추작다고한거사과해줘,1,1
딱봐도 여자 만만하게보고 지랄하다 좇될것 같으니까 정신병있는 여성인척 약자의 요소들로 빠져나가려고 하는게 존나 재수없는 한남새끼임,1,1
느그애비 한남,1,1
목 잘라서 염산에 담궈버리고 싶다,1,0
저글쓴 국뽕새끼 진짜 애미뒤진 저능아새끼네 ㅋㅋ,1,0
자지들이 여자어 따라한다고 이지랄하는거보면 아가리뜯어버리고싳긔 ㅇㅅㅇ 텍스트에서 갤창냄새가 코찌리게 나누 ㄷㄷ,1,1
여가부 폐지에 부랄쉰내 풍기며 허버허버 몰려오는 국산남들,1,1
보지들이 짝찟기를 했더니 가짜뉴스라는 참 좇 같은 자손이 나왔네요,1,1
쿠테타 한번 일어나서 개패미 좌빨들 모조리 청소혀야제,1,0
피싸개들은 기자 못하게 법으로 막던가 해야지 무슨 이년들은 씨발 기사를 쓰는게 아니라 일기를 씀,1,1
축리웹병신새끼 니애미 보짓속으로 기어들어가라 ㅋㅋ,1,1
조센징들 또 좆 같은 거짓 반일 선동이나 하다가 일본인들한테 다 털려서 개 쪽 쳐맞고 있노 사스가 반일 정신병 미개 조센징 수준 ww,1,0
한녀들이나 이딴 주작예능 보지 지능 문제다 씨발,1,1
안산은 20살에 금메달 세 개 따는데 디시 한남들은 인생에서 뭐 이뤄놓은 것도 없느면서 페미페미 이지랄 하고 있노 ㅋㅋㅋㅋㅋ 남성이 유전적으로 월등하다는 건 팩트 아닌가요??? 남성이 예로부터 사냥활동을 해서 운동신경이 어쩌고 저쩌고~ 팩트는 안산보다 운동신경 훨씬 떨어지는 배나온 한남임 ㅋㅋㅋ,1,1
느그애미도 너 태어났을 때 배까고 싶었을 듯,1,0
뭔 개소리야 병신 정신병자 조현병 새끼가,1,0
좆돼지년들 화형시키면 지방때문에 일주일은 활활탈듯,1,1
그래서 숏컷만해서 욕처먹는거냐고 애미뒤진년아 왜 자꾸 본질을 호도해 좆같은 김치피싸개 창년아,1,1
이런 페미 꼴통년들이 존나 웃기는게 지들이 시나리오를 쓰고 지들이 정신승리를 한다는점이라는거지 야이 미친 피싸개 개년아 페미가 언플하고 문재앙이 페미질하는거 모르는 좆병신이 어디있냐 빡통가리년아,1,1
한남충들 다 죽여버려야한다,1,1
골빈년들 단순노무 걸레로 살다 뒤져라,1,1
자지의 유무와 지능의 상관관계는 분명한듯,1,1
피싸면서 뇌수도 같이 질질 흘려버림,1,1
한녀 보지 반으로 찢어서 생리혈 질질 싸게 만들어주겠다,1,1
좆팔 냄져들 부랄긁으면서 여남차별 웅앵웅거리는거 ㄹㅇ 창남마인드노ㅋㅋ 한남소추게이들 본인집에서 셀프재기해라 이기야,1,1
니미 개 좆같은 새끼. 저런 게 국회의원이라고 있으니 나라가 이 모냥이지. 좆같은 새끼,1,0
스시녀들 대부분 걸레들임 애비에게 처녀 따이는 것도 흔하고,1,1
틀니딱딱충들 머가리를 반으로 쪼개야 됨,1,0
보이루때는 아가리 처 닥치고있던 알페스 걸레 민주당 한녀들 이제와서 웅앵웅 ㅉㅉ,1,1
몸갤 개씨발년들 쳐죽었으면 좋겠다 아님 몸갤 그자체를 폐쇄시키던지 나만 알고싶었던 년이었는데 이거 신고함 미친년들아,1,0
한남들 개역겹노 씨발...,1,1
다같이 한녀들 강간하고 죽이면 됨 굿굿,1,1
"전쟁나도 캠프하는거라 노상관ㅋㅋ 한남들 다 재기하고 갓양남, 스윗중남이 반도점령해라~~~~~~~~~~ 그럼 페미니스트가 활동하기 더 좋아지는 세상온다~~~~~~~~~~",1,1
한녀 피싸개는 진짜 가스실로 다 보내야한다 ㅋㅋ,1,1
한남새끼들은 답이 없다 ㅋㅋ 시발 한남들 끼리 서로 물고 뜯고 ㅋㅋ 그냥 한남은 가스실이 답인듯,1,1
한남새끼들 넷상에서 좀만 웅앵대다가 롤하러 가죠?ㅋㅋㅋㅋㅋㅋㅋㅋ 현실은 페미가 언론장악하고 지들 인권 씹창났죠?ㅋㅋㅋㅋㅋㅋㅋ,1,1
전라도 새끼들은 지 딸년이 애비충 한남유충 이래도 좋아하는데? 전라도 새끼들은 원한게 그거니까 승리한거,1,1
뭔 개소리야 정액씹좆대가리 새끼가 ㅋㅋ,1,0
좆된거는 느그 냄져 미래고요 ㅋㅋㅋㅋㅋㅋ 길거리에서 쳐다보기만 해봐? 확 치한으로 신고해서 인생 종치게 만들어줄테니깐,1,1
